Date ,School Day (yes/no),Wake Up time (hrs:min),Bedtime(hrs:min),Duration of sleep (hrs:minutes),Scheduled for work (yes/no),time of first obligation (hrs:min)
1/25/2026,no,7:30:00 AM,10:45:00 PM,8:00,no,11:15:00 AM
1/26/2026,yes,7:30:00 AM,10:00:00 PM,8:45,no,9:00:00 AM
1/27/2026,yes,6:30:00 AM,10:07:00 PM,8:30,yes,8:00:00 AM
1/28/2026,yes,6:15:00 AM,10:20:00 PM,8:08,yes,10:00:00 AM
1/29/2026,yes,7:00:00 AM,9:50:00 PM,8:40,yes,12:30:00 PM
1/30/2026,yes,6:45:00 AM,10:04:00 PM,8:55,yes,9:00:00 AM
1/31/2026,no,8:00:00 AM,9:27:00 PM,9:56,yes,2:00:00 PM
2/1/2026,no,7:30:00 AM,10:13:00 PM,10:03,yes,11:15:00 AM
2/2/2026,yes,7:00:00 AM,10:05:00 PM,8:47,no,9:00:00 AM
2/3/2026,yes,6:15:00 AM,10:40:00 PM,8:10,yes,8:00:00 AM
2/4/2026,yes,7:00:00 AM,9:53:00 PM,8:20,no,9:00:00 AM
2/5/2026,yes,7:00:00 AM,10:27:00 PM,9:07,no,12:30:00 PM
2/6/2026,yes,6:45:00 AM,11:01:00 PM,8:18,yes,9:00:00 AM
2/7/2026,no,7:30:00 AM,9:48:00 PM,8:29,yes,2:00:00 PM
2/8/2026,no,7:30:00 AM,10:09:00 PM,9:42,yes,11:15:00 AM
2/9/2026,yes,6:30:00 AM,10:21:00 PM,8:21,yes,8:20:00 AM
2/10/2026,yes,6:30:00 AM,10:09:00 PM,8:09,yes,8:00:00 AM
2/11/2026,yes,6:30:00 AM,9:46:00 PM,8:21,yes,8:30:00 AM
2/12/2026,yes,6:30:00 AM,10:33:00 PM,8:44,yes,8:00:00 AM
2/13/2026,yes,6:30:00 AM,11:12:00 PM,7:57,yes,9:00:00 AM
2/14/2026,no,8:30:00 AM,11:57:00 PM,9:18,no,11:00:00 AM
2/15/2026,no,8:00:00 AM,11:13:00 PM,8:03,yes,11:15:00 AM
2/16/2026,no,8:15:00 AM,10:48:00 PM,9:02,yes,9:00:00 AM
2/17/2026,yes,6:15:00 AM,9:45:00 PM,7:27,yes,8:00:00 AM
2/18/2026,yes,7:30:00 AM,10:22:00 PM,9:45,yes,9:00:00 AM
2/19/2026,yes,7:00:00 AM,9:22:00 PM,8:38,no,12:30:00 PM
2/20/2026,yes,6:45:00 AM,10:02:00 PM,9:23,yes,9:00:00 AM
2/21/2026,no,6:00:00 AM,9:48:00 PM,7:58,no,8:15:00 AM
2/22/2026,no,7:30:00 AM,2:26:00 AM,5:04,yes,11:15:00 AM
2/23/2026,yes,8:00:00 AM,9:30:00 PM,5:34,yes,9:00:00 AM
2/24/2026,yes,6:30:00 AM,9:36:00 PM,9:00,yes,8:00:00 AM
2/25/2026,yes,6:25:00 AM,9:36:00 PM,8:49,no,9:00:00 AM
2/26/2026,yes,7:30:00 AM,10:42:00 PM,9:54,no,12:30:00 PM
2/27/2026,yes,7:00:00 AM,10:40 PM,8:18,yes,9:00:00 AM
2/28/2026,no,7:30:00 AM,11:19:00 PM,8:50,yes,2:00:00 PM
3/1/2026,no,8:30:00 AM,9:25:00 PM,9:11,no,11:15:00 AM